laboratorio,cod_Barra,producto,exist_Caja,sist_Unid,valor_unid,valor_total
PENDIENTE RE,7702402044660,*HELADO POLET DURAZNO ROYAL,0,0,0,0
PENDIENTE RE,770240204448,*HELADO POLET PLACER CHOCOLATE *45,0,0,"1,800",0
PENDIENTE RE,7702402045292,*HELADO POLET TENTACION CEREZA X,780,0,0,0
PENDIENTE RE,7707141303399,*HIDRAPLUS 30 CEREZA X 500 ML,0,0,"8,100",0
PENDIENTE RE,7707141303382,*HIDRAPLUS 30 CHICLE X 500 ML,0,0,"7,500",0
PENDIENTE RE,7707141303139,*HIDRAPLUS 30 COCO X 5 BOLSAS,0,0,"10,500",0
PENDIENTE RE,7707141303351,*HIDRAPLUS 30 FRESA X 500 ML,0,0,"7,500",0
PENDIENTE RE,7707141363485,*HIDRAPLUS 30 UVA X 500 ML,0,0,"7,500",0
PENDIENTE RE,7707141303283,*HIDRAPLUS 45 CHICLE X 5 BOLSAS,0,0,"10,500",0
PENDIENTE RE,7707141399262,*HIDRAPLUS 45 CHICLE X 500 ML,0,0,"7,500",0
PENDIENTE RE,7707141363492,*HIDRAPLUS 45 COCO X 500 ML,0,0,"8,100",0
PENDIENTE RE,7707141363508,*HIDRAPLUS 45 FRESA X 500 ML,0,0,"8,100",0
PENDIENTE RE,7707141399255,*HIDRAPLUS 45 TUTTI X 500 ML,0,0,"8,100",0
PENDIENTE RE,7707141303269,*HIDRAPLUS 45 UVA *5 BOLSAS,0,0,"10,500",0
PENDIENTE RE,7707141363515,*HIDRAPLUS 45 UVA X 500 ML,0,0,"8,100",0
PENDIENTE RE,7703333007465,*HIDRIBET 5% LOCION X 125 ML,0,0,0,0
PENDIENTE RE,7795335007086,*HIDROCORTISONA 100 MG INY,0,0,0,0
PENDIENTE RE,7703363000269,*HINDS CREMA ANTIARRUGAS X 230 ML,10,0,0,0
PENDIENTE RE,7501065071798,*HINDS CREMA NOTE ARRUGES * 230 ML,0,0,"14,600",0
PENDIENTE RE,7707172689714,*HINDS MAMA CREMA X 250 ML 2+1,0,0,0,0
PENDIENTE RE,7706309000644,*HIPROBEN X 30 TAB,0,0,0,0
PENDIENTE RE,7702425804401,*HUGGIES NATURAL CARE NIÃ‘AS M/2 *,0,0,"38,200",0
PENDIENTE RE,36000213300,",036*HUGGIES PULL UPS GIRL ET 3-4 X 23",0,0,0,0
PENDIENTE RE,7896018700642,*HUGGIES RECIEN NACIDO TOALLITAS X,0,0,"8,400",0
PENDIENTE RE,7896018700604,*HUGGIES TOALLITAS  NATURAL CAREX,40,0,"5,650",0
PENDIENTE RE,7702425546769,*HUGGIES TOALLITAS HUMEDAS SUPREME,0,0,"7,000",0
PENDIENTE RE,7702425540897,*HUGGIES TOALLITAS RECIEN NACIDO X,0,0,"11,800",0
PENDIENTE RE,7702425545786,*HUGGIES TOALLITAS SUPREME PAGUE,600,0,"5,800",0
PENDIENTE RE,7702425547926,*HUGGIES ULTRATRIM E-3 GRANDE 3D X,0,0,"5,000",0
